Date,Montant Dette,APR,Taux Journalier,Interet Journalier,Interet Cumule,Transaction
2024-04-08,2000428.095740,7.812747%,0.021405%,428.095740,428.095740,Emprunt 2000000.000000
2024-04-09,2000867.338389,8.014463%,0.021957%,439.242650,867.338389,
2024-04-10,2001423.543764,10.146348%,0.027798%,556.205374,1423.543764,
2024-04-11,2002085.848637,12.078467%,0.033092%,662.304873,2085.848637,
2024-04-12,2002697.840238,11.157211%,0.030568%,611.991601,2697.840238,
2024-04-13,2003296.561683,10.911947%,0.029896%,598.721444,3296.561683,
2024-04-14,2004032.529715,13.409314%,0.036738%,735.968033,4032.529715,
2024-04-15,2004588.607948,10.128007%,0.027748%,556.078233,4588.607948,
2024-04-16,0.000000,0.000000%,0.000000%,0.000000,4588.607948,Remboursement 2005109.000000
2024-04-22,200635163.800170,13.678728%,0.037476%,75161.800170,79750.408118,Remboursement 54439998.000000
2024-04-23,200695284.148052,10.937229%,0.029965%,60120.347882,139870.756000,
2024-04-24,200758542.561604,11.504665%,0.031520%,63258.413552,203129.169552,
2024-04-25,200816257.054760,10.493098%,0.028748%,57714.493156,260843.662708,
2024-04-26,200875325.414078,10.736158%,0.029414%,59068.359317,319912.022025,
2024-04-27,200939303.454035,11.625114%,0.031850%,63978.039957,383890.061982,
2024-04-28,201012787.806015,13.348204%,0.036570%,73484.351981,457374.413963,
2024-04-29,201080064.513666,12.216137%,0.033469%,67276.707650,524651.121614,
2024-04-30,201141030.202542,11.066476%,0.030319%,60965.688876,585616.810490,
2024-05-01,201187156.382111,8.370274%,0.022932%,46126.179569,631742.990059,
2024-05-02,201240927.555278,9.755334%,0.026727%,53771.173167,685514.163226,
2024-05-03,201307153.508035,12.011708%,0.032909%,66225.952757,751740.115983,
2024-05-04,201381205.265344,13.426692%,0.036785%,74051.757309,825791.873292,
2024-05-05,201445518.580289,11.656679%,0.031936%,64313.314945,890105.188237,
2024-05-06,201509617.007067,11.614021%,0.031819%,64098.426778,954203.615015,
2024-05-07,201573735.829475,11.614021%,0.031819%,64118.822408,1018322.437423,
2024-05-08,201637875.054004,11.614021%,0.031819%,64139.224528,1082461.661951,
2024-05-09,201702034.687144,11.614021%,0.031819%,64159.633140,1146621.295091,
2024-05-10,201766214.735389,11.614021%,0.031819%,64180.048246,1210801.343337,
2024-05-11,201830415.205237,11.614021%,0.031819%,64200.469847,1275001.813184,
2024-05-12,201894636.103184,11.614021%,0.031819%,64220.897947,1339222.711131,
2024-05-13,201958877.435730,11.614021%,0.031819%,64241.332547,1403464.043678,
2024-05-14,202023139.209379,11.614021%,0.031819%,64261.773648,1467725.817326,
2024-05-15,202087421.430633,11.614021%,0.031819%,64282.221254,1532008.038581,
2024-05-16,202151724.105999,11.614021%,0.031819%,64302.675367,1596310.713947,
2024-05-17,202216047.241987,11.614021%,0.031819%,64323.135987,1660633.849934,
2024-05-18,202280390.845105,11.614021%,0.031819%,64343.603118,1724977.453053,
2024-05-19,202344754.921867,11.614021%,0.031819%,64364.076762,1789341.529814,
2024-05-20,202409139.478786,11.614021%,0.031819%,64384.556920,1853726.086734,
2024-05-21,202473544.522381,11.614021%,0.031819%,64405.043594,1918131.130329,
2024-05-22,202537970.059169,11.614021%,0.031819%,64425.536788,1982556.667117,
2024-05-23,202599678.538924,11.120678%,0.030468%,61708.479755,2044265.146872,
2024-05-24,202650947.785557,9.236577%,0.025306%,51269.246633,2095534.393505,
2024-05-25,202712043.607236,11.004131%,0.030148%,61095.821679,2156630.215184,
2024-05-26,202773308.695141,11.031292%,0.030223%,61265.087905,2217895.303088,
2024-05-27,202825856.549490,9.458822%,0.025915%,52547.854349,2270443.157438,
2024-05-28,202868775.397819,7.723561%,0.021160%,42918.848329,2313362.005767,
2024-05-29,202923701.170049,9.882204%,0.027075%,54925.772230,2368287.777997,
2024-05-30,202981847.469216,10.458807%,0.028654%,58146.299167,2426434.077163,
2024-05-31,203045866.157089,11.511779%,0.031539%,64018.687874,2490452.765037,
